run_id,lane,source_head,artifact_path,encoding_version,solver_and_version,scope_n,cap_profile,fixed_named_roles,constraint_level,SAT_UNSAT_UNKNOWN_TIMEOUT,raw_model_count,canonical_model_count,proof_or_core_available,seed,timeout,elapsed,input_sha256,output_sha256,notes
ex17-children33-44,R221-EX17,UNKNOWN,scratch/exact17-lean-to-sat/,two-kalmanson-children33-44,piqd/piqc,17,"[9,8]",one selected order/cell per child,SOURCE_FAITHFUL_FINITE,SAT,12,one retained model per child; no orbit census,authenticated structural SAT replay,children33..44,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,Aggregate inventory row; diagnostic motif mines do not establish exhaustive survivor counts.
exact12-v4-direct-12-cell-wave,R221-EX12/A5,UNKNOWN,docs/exact-twelve-rigid221-ordered-v4-replay-checkpoint-2026-08-08.md,exact12-ordered-v4,CaDiCaL + CEGAR,12,"[5,4,6]",12 named placement cells,INCIDENCE_PLUS_ORDER,ITERATION_LIMIT_OR_STRUCTURALLY_UNRESOLVED,6896,NOT ESTABLISHED,NO,12 cells,per-cell iteration limits,UNKNOWN,UNKNOWN,f72db49bd3ac6e0608e1e5564ee81711a5d07d57bc6eac8165c1e4015876350b,"No UNSAT cell; counts are retained CEGAR records, not exhaustive models."
exact12-model-all-42-placements,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/model.json,pentagon-offclass-exact12-v2,CaDiCaL 3.0.0 + Z3 4.17,12,"[5,4,6]","[""physical_apex"",""d"",""v"",""u"",""c"",""xv"",""xu""]",INCIDENCE_ONLY,SAT,42,one full row/blocker shadow retained,independent model check; no UNSAT proof,all placements,UNKNOWN,UNKNOWN,163d8b03a5af894f06d684c31587f3823a4de5287af9104a73055338ff179b16,c617de76183518320900507effb69ab7cfe0242c289e434b416cc72cdf848f2e,"All 42 placements SAT; retained model omits Euclidean, minimality, and deletion-survival content."
a5-arm-static-cell6-v1-v21,R221-EX12/A5,UNKNOWN,scratch/runs/exact12-rigid221-all-order-common-five/canary-v14-20260818/,arm-static-cell6-v1-v21,CaDiCaL; version in receipts,12,"[5,4,6]",named arm cell 6,SOURCE_FAITHFUL_FINITE,SAT,21,one witness retained per canary,SAT replay only; terminal proof unauthenticated,v1..v21,UNKNOWN,UNKNOWN,UNKNOWN,DIRECTORY_NOT_HASHED; see evidence_manifest.csv,Every canary SAT_WITNESS_REPLAYED; no aggregate/universal result.
a5-v17-fixed-selector-cell,R221-EX12/A5,UNKNOWN,docs/computational-closure-plan-2026-07-28.md,A5-v17-fixed-xu-w-jd-v-d8,CaDiCaL + DRAT/LRAT audit,12,"[5,4,6]","xu/w fixed; (jd,v)=(0,2); d=8",SOURCE_FAITHFUL_FINITE,UNSAT,0,0,fresh DRAT verified; 472-clause core (467 inherited + 5 live),fixed cell,NONE REPORTED,UNKNOWN,UNKNOWN,db3b25c8adba1d9d1d2a1e620fcb2387687c27ec95d759f6ee3ef4252928a448,Forces 9 in row 8 and 9 not in row 8; fixed selector/cell only.
exact12-next-row-arm-cells52-58-65-71,R221-EX12/A5,UNKNOWN,docs/exact12-next-row-arm-terminal-promotion-2026-08-13.md,finite-pure-RUP-cells,kernel-checked Lean replay,12,"[5,4,6]","cells 52,58,65,71",SOURCE_FAITHFUL_FINITE,UNSAT,0,0,"7 pure-RUP additions over 369,326-clause base","cells52,58,65,71",NONE,UNKNOWN,UNKNOWN,ea56e461454128fdbdf52bd1d6f6063bb97d6fb26bee5bf4f7ec56811e493ae5,Kernel-checked finite facts; no proof of selector coverage.
exact12-v26-projected-enumeration,R221-EX12/A5,UNKNOWN,docs/exact12-v26-projected-model-space-2026-08-20.md,exact12-v26-projected-row-cubes,CaDiCaL; version in report,12,"[5,4,6]",v26 named roles,INCIDENCE_PLUS_ORDER,SAT_SAMPLING_LIMIT,300,300,NO,projected enumeration,512s sample,512s,UNKNOWN,aacbf10d31fb6091a20265d3886ed414cb95a105ada61522e3fa5add87a15d29,At least 300 projected cubes; 0/300 orientation-coverable; empirical sample only.
exact12-source-v3,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/cegar-d0-v2-source-v3/summary.json,exact12-source-sensitive-v3,CaDiCaL + Python CEGAR; version in campaign artifacts,12,"[5,4,6]",d=0 source-sensitive blocker/fiber roles,INCIDENCE_ONLY,ITERATION_LIMIT,5000,NOT ESTABLISHED,NO,single campaign,"5,000 iterations",UNKNOWN,UNKNOWN,81a533e6629c4a2919d5466853696cc6b583ba1592f02da5b83187ae8eebfedf,"5,000 bootstrap records and 10,000 learned clauses; blocker/fiber diagnostics only."
exact12-source-constraints-v4,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/cegar-d0-v2-source-constraints-v4/summary.json,exact12-source-constraints-v4,CaDiCaL + Python CEGAR; version in campaign artifacts,12,"[5,4,6]",d=0 source constraints,SOURCE_FAITHFUL_FINITE,ITERATION_LIMIT,1250,NOT ESTABLISHED,Lean producers checked; Python adapter not kernel-checked,single campaign,"1,000 new iterations",UNKNOWN,UNKNOWN,e22c72f703a7c181abd9958765b4c2352fc34d1f09efc86ab1b65eeb41ef2ab1,"1,250 v4 records and 10,000 inherited clauses; no terminal proof."
exact12-source-role-deletion-v5,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/cegar-d0-v2-source-role-deletion-v5-u-q/summary.json,exact12-source-role-deletion-v5-six-arms,CaDiCaL + Python CEGAR; version in summaries,12,"[5,4,6]","[""u-q"",""u-w"",""xu-q"",""xu-w"",""xv-q"",""xv-w""]",SOURCE_FAITHFUL_FINITE,ITERATION_LIMIT,606,NOT ESTABLISHED,NO,six role/deletion cells,100 new iterations per arm,UNKNOWN,UNKNOWN,56e393a0da747044f923f5ef20b81a023de2f1c2b3c165b9da2a5183a39c84d0,All six arms end at iteration limit with 101 retained records each; one shared refinement wave.
exact12-dichotomy-v6-hit-u-q,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/cegar-d0-v2-dichotomy-v6-hit-u-q-run/summary.json,exact12-dichotomy-v6-hit-u-q,CaDiCaL + Python CEGAR; version in summary,12,"[5,4,6]",v6 hit-u-q arm,SOURCE_FAITHFUL_FINITE,ITERATION_LIMIT,10,NOT ESTABLISHED,NO,hit-u-q,10 iterations,UNKNOWN,UNKNOWN,06e0c6ea549864e7366efd357b5fb16e4e2a2845d096a9635d6c80616cbf6a24,Production wave only; smoke files are excluded from the wave count.
exact12-common-v7-u-q,R221-EX12/A5,UNKNOWN,scratch/pentagon-offclass-exact12-v2/cegar-d0-v2-common-v7-u-q-mask-census-500/summary.json,exact12-common-v7-concrete-row-u-q,CaDiCaL + Python CEGAR; version in summaries,12,"[5,4,6]",v7 u-q concrete-row arm,SOURCE_FAITHFUL_FINITE,ITERATION_LIMIT,11500,NOT ESTABLISHED,NO,50 and 500 budget variants,"5,000-iteration continuation",UNKNOWN,UNKNOWN,44008311e8a4d9da0aae1556103802ee0eed2176d88c40a3ffdc1f819f542887,"Combined shared-encoding census/continuation; summaries declare 50 and 11,500 records."
ex17-schema-c-seeds1701-1717,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/schema-c-smoke-seed1701/checkpoint.json,schema-C-boolean-linear,CaDiCaL + linear oracle; versions in checkpoints,17,"[9,8]",schema-C exact17 labels,INCIDENCE_PLUS_ORDER,ITERATION_LIMIT_OR_LINEAR_UNKNOWN,1512,1509,NO,1701..1717,13 iteration-limit cells,UNKNOWN,UNKNOWN,edd2be3aecbdef3398b2a99f6c2b3d7b36f86cfb9b5bbc3b8f80a78464d2aa2f,Boolean SAT traces; 13 iteration-limit and 3 linear-unknown production cells.
ex17-schema-cde-wave2-seeds1801-1816,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/schema-cde-wave2-seed1801/checkpoint.json,schema-CDE-wave2,CaDiCaL + linear oracle; versions in checkpoints,17,"[9,8]",schema-CDE exact17 labels,INCIDENCE_PLUS_ORDER,ITERATION_LIMIT_OR_LINEAR_UNKNOWN,3082,3075,NO,1801..1816,9 iteration-limit cells,UNKNOWN,UNKNOWN,502a3cd69b2f6f02187b422ce36f3fb8d7454cfbfcd4fa15791cf40d312cc92b,Nine iteration-limit and seven linear-unknown cells; no aggregate UNSAT.
ex17-schema-cdef-wave3-seeds1901-1908,R221-EX17,UNKNOWN,scratch/rigid221-blockerv-exact17-20260806/schema-cdef-wave3-seed1901/checkpoint.json,schema-CDEF-wave3,CaDiCaL + linear oracle; versions in checkpoints,17,"[9,8]",schema-CDEF exact17 labels,INCIDENCE_PLUS_ORDER,ITERATION_LIMIT_OR_LINEAR_UNKNOWN,1722,1720,NO,1901..1908,6 iteration-limit cells,UNKNOWN,UNKNOWN,2ca4c61787bd92f9cac27c88e45090d7412471ff3cd3f7d25922b3dd083da093,Six iteration-limit and two linear-unknown cells; no aggregate UNSAT.
ex17-historical-cg-children01-31,R221-EX17,UNKNOWN,scratch/exact17-lean-to-sat/exact17-chain-reauth-20260812.json,cumulative-C-through-G-children1-31,historical solver versions pinned by reauthentication records,17,"[9,8]",31 child roots,SOURCE_FAITHFUL_FINITE,SAT_REAUTHENTICATED,31,31 model-bearing child roots,SAT replay and lineage audit 31/31,children1..31,historical,UNKNOWN,UNKNOWN,51c7dc964226d8920dadc2b84fd7721d0f2d4b0a146512ad09010d21eb79f36c,"Reauthentication lineage, not a fresh run; no closure proof."
ex17-child45,R221-EX17,UNKNOWN,scratch/exact17-lean-to-sat/child45-export-receipt.json,child45-next-center-assumptions,solver versions in 13 cell receipts,17,"[9,8]",13 attempted child45 cells,SOURCE_FAITHFUL_FINITE,SAT,13,13 retained cell models,export/validation PASS; no UNSAT proof,13 cells,UNKNOWN,UNKNOWN,UNKNOWN,fd12b39d26f9fbe82f9e06edad9d7183b3af5b9b4c8cad1fa7ae2fa3f032e8a3,"All 13 attempted cells SAT at 308 variables and 5,848,824 clauses; no coverage theorem."
ex17-child46-export-unrun,R221-EX17,UNKNOWN,scratch/exact17-lean-to-sat/child46-export-receipt.json,child46-nine-model-rejection-cuts,NOT RUN,17,"[9,8]",child46 inherited root,SOURCE_FAITHFUL_FINITE,UNKNOWN_UNRUN,0,0,export/validation only,NONE,NONE,NONE,UNKNOWN,64cc2822aa751f066f9177abd417e538be50524dd820ea250048f64a37de9ae3,"36 new clauses and nine inherited-model rejection cuts; lineage metadata, not a solver terminal."
